Student ID,Age,Gender,Home Region,Home City,Program ID,Program Main Category Code,Program Sub Category Code,Technology Type,Program Skill Level,Program Presentation Method,Program Start Date,Program End Date,Program Days,Completed Degree,Level of Education,College,University Degree Score,University Degree Score System,Employment Status,Job Type,Still Working,Y,Age Range by Program
4f14c50d-162e-4a15-9cf0-ec129c33bcf0,37,Male,Riyadh Region,Riyadh,453686d8-4023-4506-b2df-fac8b059ac26,PCRF,PCRF,Traditional,Beginner,In-person,2023-05-28,2023-06-08,12,Yes,Bachelor,Information and Communication Technology,2.44,4.0,Unemployed,No Job,No,0,24-37
0599d409-876b-41a5-af05-749ef0e77d32,21,Male,Asir Region,Khamis Mushait,cc8e4e42-65d5-4fa1-82f9-6c6c2d508b60,APMR,SWPS,Traditional,Intermediate,In-person,2023-04-02,2023-04-06,5,Yes,Bachelor,Arts and Humanities,5.0,5.0,Student,No Job,No,0,20-46
38a11c0e-4afc-4261-9c64-e94cc0a272fb,24,Male,Riyadh Region,Riyadh,e006900d-05a9-4c2b-a36f-0ffb9fce44cd,APMR,No sub,Traditional,Intermediate,In-person,2023-07-23,2023-09-14,54,Yes,Bachelor,Information and Communication Technology,3.5,5.0,Employed,Full-time,Yes,0,16-33
1693e85b-f80e-40ce-846f-395ddcece6d3,23,Male,Riyadh Region,Riyadh,2ec15f6b-233b-428a-b9f5-e40bc8d14cf9,TOSL,TOSL,Emerging,Beginner,In-person,2023-07-23,2023-08-24,33,Yes,Bachelor,Information and Communication Technology,3.55,5.0,Graduate,No Job,No,0,21-38
6b27cd77-23aa-438b-bd0b-7abdb40a717c,30,Male,Riyadh Region,Riyadh,32bce2ad-426a-4096-b7d0-78b5f30bd8a0,ABIR,INFA,Emerging,Beginner,In-person,2023-05-14,2023-05-25,12,Yes,Bachelor,Information and Communication Technology,4.07,5.0,Employed,Full-time,Yes,0,20-43
3c34ef05-7a14-4ed2-a50a-910acaa97006,30,Female,Riyadh Region,Riyadh,1b546d80-2ed0-42e6-9867-61b3d2f92d50,GRST,INFA,Supportive,Intermediate,In-person,2023-08-13,2023-08-17,5,Yes,Bachelor,Information and Communication Technology,4.0,5.0,Employed,Full-time,Yes,0,22-41
85ec0b08-cf03-47d2-a10e-5e9cccf534c3,23,Female,Eastern Province,Hafr Al-Batin,46e7d55e-f11d-47c3-8310-a907c1584671,ABIR,No sub,Traditional,Beginner,Remote,2022-07-03,2022-07-07,5,Yes,Bachelor,Information and Communication Technology,3.64,4.0,Graduate,No Job,No,0,19-43
621c5334-db96-460e-982c-5f7c385b31b1,20,Male,Najran Region,Najran,04df155c-2eef-496e-b38e-30283b56249c,PCRF,PCRF,Traditional,Beginner,Remote,2023-12-31,2024-01-18,19,No,Bachelor,Information and Communication Technology,2.0,5.0,Employed - Student,Full-time,Yes,1,18-31
c51bfda7-f18f-40ba-9063-ffdddd5cb665,38,Female,Riyadh Region,Riyadh,0a9be3dd-a359-4afb-8cd6-0a94a04f70d4,APMR,SRTA,Emerging,Intermediate,In-person,2023-12-03,2023-12-28,26,Yes,Master,Information and Communication Technology,4.0,5.0,Employed,Full-time,Yes,0,22-39
0c5b3ca4-055d-4a0d-b799-90e6f269ce71,23,Female,Makkah Region,Makkah,786daedd-7fb3-4c4f-9c24-e19768b39ece,APMR,No sub,Traditional,Intermediate,In-person,2023-01-08,2023-03-07,59,Yes,Bachelor,Information and Communication Technology,3.83,4.0,Graduate,No Job,No,0,20-38
5eb1e4cc-ea04-4675-a0bc-37f7aec93ddd,27,Male,Makkah Region,Jeddah,ec39b045-a8a4-4ae6-bc4b-c108c9562904,PCRF,PCRF,Traditional,Intermediate,In-person,2022-11-20,2022-12-01,12,Yes,Bachelor,Information and Communication Technology,3.64,5.0,Unemployed,No Job,No,0,21-38
5cb31f2b-7b35-482c-b505-4966418b4b65,24,Female,Riyadh Region,Riyadh,0d12d5ef-7965-4a0d-a18c-7cc826c4f971,APMR,SRTA,Supportive,Beginner,In-person,2022-11-27,2022-12-01,5,No,Bachelor,Information and Communication Technology,4.0,5.0,Unemployed,No Job,No,0,24-42
7a3f6f28-c0ff-465c-b2db-a5aaa6aa93e6,23,Female,Riyadh Region,Riyadh,ab263106-20a8-42aa-9626-278e62ae3a49,CAUF,SWPS,Traditional,Advanced,In-person,2023-09-03,2023-09-14,12,Yes,Bachelor,Information and Communication Technology,4.6,5.0,Graduate,No Job,No,0,22-49
1bc738df-243f-4bc8-a62a-525e831a26c6,24,Male,Makkah Region,Jeddah,ee1206d8-ea7a-492e-af9d-24d6f4039e18,PCRF,PCRF,Emerging,Beginner,Remote,2023-04-02,2023-04-06,5,Yes,Bachelor,Information and Communication Technology,3.81,5.0,Employed,Full-time,Yes,0,20-42
d454af94-e89d-42fb-b738-c26f0d11b05c,34,Male,Riyadh Region,Riyadh,321e4dc8-c3c4-4173-bca5-59a0bd9f327c,PCRF,PCRF,Traditional,Intermediate,In-person,2023-01-08,2023-01-19,12,Yes,Bachelor,Information and Communication Technology,2.85,4.0,Employed,Full-time,Yes,0,23-42
742dd348-86d9-4e37-b73b-7bab375eeea4,43,Male,Riyadh Region,Riyadh,3218820e-5fc3-4dcb-8c23-17ac8de5e4b0,GRST,INFA,Traditional,Intermediate,In-person,2022-12-25,2022-12-29,5,Yes,Bachelor,"Business, Management and Law",2.48,5.0,Employed,Full-time,Yes,0,20-45
d1ae2240-2cbd-4cee-a94a-5a40c54f9717,21,Female,Riyadh Region,Riyadh,e6be9f1a-dffa-4662-a7d2-74a6e12ad4b2,CAUF,SWPS,Supportive,Beginner,In-person,2022-11-06,2022-11-17,12,Yes,Secondary,No College,4.31,5.0,Student,No Job,No,0,18-49
b8a19194-3be3-44ea-ade2-82670fff0039,24,Male,Riyadh Region,Riyadh,b46e3916-0e78-4c75-bc42-48d7e1168e27,PCRF,PCRF,Traditional,Beginner,In-person,2023-08-20,2023-09-07,19,Yes,Bachelor,Information and Communication Technology,3.0,5.0,Employed,Full-time,Yes,0,21-35
8d2a15d3-55c1-4298-857c-0a9549b3c6be,23,Male,Riyadh Region,Riyadh,cbbba769-bb8f-43f2-a24d-8ac13a74caff,CAUF,CRDP,Traditional,Beginner,In-person,2023-05-28,2023-06-01,5,Yes,Bachelor,"Engineering, Manufacturing and Construction",3.9,5.0,Student,No Job,No,0,19-44
25150e01-63e7-46c6-aa82-1c6d60047ce5,29,Female,Najran Region,Najran,0a189924-a682-4deb-80c9-5525ebd2b9da,CAUF,SWPS,Traditional,Intermediate,Remote,2022-12-04,2022-12-22,19,Yes,Bachelor,Information and Communication Technology,4.07,5.0,Graduate,No Job,No,0,20-45
4f96d5e1-ded2-45b6-89d0-959eb57af29c,22,Male,Riyadh Region,Riyadh,60494e5b-b20a-4440-ab75-0fd257748dcc,TOSL,No sub,Supportive,Advanced,In-person,2023-11-12,2023-12-14,33,Yes,Bachelor,"Natural Sciences, Mathematics and Statistics",3.97,5.0,Unemployed,No Job,No,0,19-42
ba51e394-487c-4a98-ac3a-ac2d15540afa,30,Male,Riyadh Region,Riyadh,aee3a7b8-28ea-4b9d-963f-2f1413b81c04,PCRF,PCRF,Traditional,Intermediate,In-person,2023-08-20,2023-08-31,12,Yes,Master,Information and Communication Technology,4.56,5.0,Employed,Full-time,Yes,0,19-44
ad9a759e-710f-48c7-a055-8c4b7fb531a4,26,Female,Riyadh Region,Riyadh,2d5681bc-aa1c-4d85-bd5e-58f14bb9c317,INFA,INFA,Traditional,Beginner,In-person,2022-12-18,2023-05-01,135,No,Bachelor,Information and Communication Technology,4.1,5.0,Freelance,Flexible,Yes,1,24-44
0bb6e639-33c0-459b-ad5d-302884889fec,30,Male,Riyadh Region,Riyadh,6912b706-121b-49c7-9b7b-c0c1dddd9fb4,TOSL,No sub,Traditional,Beginner,In-person,2023-03-19,2023-03-23,5,Yes,Master,Information and Communication Technology,2.0,4.0,Employed,Full-time,Yes,0,22-42
36493613-95c6-487a-ae73-3d99549210f4,29,Male,Riyadh Region,Riyadh,b3c56c6d-dd46-4f26-93ee-c16e211aa3b9,PCRF,PCRF,Supportive,Beginner,In-person,2023-08-27,2023-09-07,12,Yes,Bachelor,Information and Communication Technology,3.0,5.0,Employed,Full-time,Yes,0,22-44
aa16247a-ddb0-4da5-b066-65ea5f15fd9a,29,Male,Riyadh Region,Riyadh,c49987af-b421-4b88-b36a-a0ec91d95aa3,GRST,INFA,Traditional,Intermediate,In-person,2023-07-23,2023-07-27,5,Yes,Bachelor,Information and Communication Technology,3.28,5.0,Employed,Full-time,Yes,0,24-41
d51fee63-eb88-480e-8220-36890a2e024b,25,Female,Riyadh Region,Riyadh,4ad7a7dc-abcf-43fa-b2e3-07095e083661,PCRF,PCRF,Traditional,Advanced,In-person,2023-11-12,2023-11-16,5,Yes,Bachelor,Information and Communication Technology,3.49,5.0,Freelance,Flexible,Yes,0,19-42
215fabd5-3353-4bf8-9ed9-7dc35a57766f,24,Female,Riyadh Region,Riyadh,786daedd-7fb3-4c4f-9c24-e19768b39ece,APMR,No sub,Traditional,Intermediate,In-person,2023-01-08,2023-03-07,59,No,Bachelor,Information and Communication Technology,4.0,5.0,Unemployed,No Job,No,0,20-38
0807fbcb-fc55-41b0-b903-711ac92a781c,24,Female,Riyadh Region,Riyadh,e6be9f1a-dffa-4662-a7d2-74a6e12ad4b2,CAUF,SWPS,Supportive,Beginner,In-person,2022-11-06,2022-11-17,12,Yes,Bachelor,Arts and Humanities,4.7,5.0,Graduate,No Job,No,0,18-49
a04ea39c-c7db-45b6-8070-f6bfbe7a0d59,26,Female,Medina Region,Yanbu,355355c1-348f-42b9-b3dc-0820a3efa80f,CAUF,SWPS,Traditional,Advanced,In-person,2022-10-09,2022-11-17,40,Yes,Bachelor,Information and Communication Technology,3.0,5.0,Unemployed,No Job,No,0,20-35
984950c1-5ae8-4f6b-96be-be2e5b85631a,30,Female,Riyadh Region,Riyadh,9f691119-a59c-4051-a370-309619cf31dd,CAUF,SWPS,Traditional,Beginner,In-person,2023-04-02,2023-04-06,5,Yes,Bachelor,Information and Communication Technology,4.0,5.0,Employed,Full-time,Yes,0,19-41
8c42c3b4-28d4-4fbb-b384-bf3ffb8a7684,28,Male,Riyadh Region,Riyadh,d0f06377-196d-486c-bad8-15c04f8cdad3,PCRF,PCRF,Emerging,Beginner,Remote,2023-08-06,2023-08-10,5,Yes,Bachelor,Information and Communication Technology,2.65,5.0,Employed,Full-time,Yes,0,21-44
7daafb3e-bf32-4787-b896-5592b28054d8,24,Male,Riyadh Region,Riyadh,e0189c33-e562-4d49-8b09-c1cc3f9781c9,INFA,INFA,Traditional,Intermediate,In-person,2023-01-22,2023-02-02,12,Yes,PhD,Information and Communication Technology,5.0,5.0,Employed,Full-time,Yes,0,22-43
5e5c78ed-8517-4c7e-9df8-47af9cf24adf,20,Female,Riyadh Region,Riyadh,84878a26-c398-48e9-a5b2-2c6d8efaa550,CAUF,SWPS,Emerging,Advanced,In-person,2022-11-20,2022-11-23,4,No,Bachelor,Arts and Humanities,4.45,5.0,Student,No Job,No,1,19-24
7afa138f-4e33-46b8-bbf0-6cf2a282349c,27,Male,Riyadh Region,Riyadh,96dd2655-a3f3-4507-913e-ebfd2dd0f7a6,PCRF,PCRF,Supportive,Beginner,In-person,2023-10-01,2023-10-12,12,Yes,Master,Information and Communication Technology,80.0,100.0,Employed,Full-time,Yes,0,21-28
31dd299c-4441-4db1-a3a7-ba457b27cd99,25,Male,Eastern Province,Hafr Al-Batin,f1836af7-20e4-4551-9571-68718889342f,CAUF,SWPS,Traditional,Intermediate,In-person,2023-07-23,2023-09-14,54,Yes,Bachelor,Information and Communication Technology,3.36,5.0,Unemployed,No Job,No,0,23-36
5f57c7ff-a041-45a7-84c0-517d563eb514,23,Female,Medina Region,Medina,dd948935-4e37-4454-81f2-13d75c10cd69,PCRF,PCRF,Traditional,Beginner,Remote,2023-04-02,2023-04-06,5,No,PhD,"Social Sciences, Journalism and Media",4.84,5.0,Graduate,No Job,No,1,21-42
8413d20c-e6ab-41c7-9e99-6ffa26fcffd5,20,Female,Eastern Province,Al-Hofuf,ce3562c8-8d27-4ffb-8dfc-e1dd4527b32a,PCRF,PCRF,Traditional,Beginner,Remote,2023-01-15,2023-01-19,5,No,Secondary,No College,100.0,100.0,Student,No Job,No,1,19-46
9d0bc4ce-7137-4f3c-b19a-b088b54f2c6a,23,Female,Riyadh Region,Riyadh,580f44fe-6cce-41f2-b890-17bae1553aae,CAUF,No sub,Traditional,Beginner,Remote,2023-03-19,2023-03-23,5,Yes,Bachelor,Information and Communication Technology,4.55,5.0,Unemployed,No Job,No,0,20-39
5806cecd-3866-4a30-98a6-0498210775aa,28,Male,Riyadh Region,Riyadh,c49987af-b421-4b88-b36a-a0ec91d95aa3,GRST,INFA,Traditional,Intermediate,In-person,2023-07-23,2023-07-27,5,Yes,Bachelor,Information and Communication Technology,3.9,5.0,Employed,Full-time,Yes,0,24-41
8d06051e-8a66-4654-bbce-20fd2353a837,42,Female,Riyadh Region,Riyadh,8f595e68-1027-462b-85fd-bac14b4f7b70,CAUF,SWPS,Traditional,Intermediate,In-person,2023-10-08,2023-10-12,5,Yes,Bachelor,Information and Communication Technology,4.22,5.0,Employed,Full-time,Yes,0,21-42
